Key,English,Ελληνικά
tagline,Welcome to ePhyLi!,Καλώς ήρθατε στο ePhyLi!
welcomeText,Your journey into Physical Literacy is going to start!,Το ταξίδι σας στον Σωματικό Γραμματισμό ξεκινά!
english,English,Αγγλικά
greek,Greek,Ελληνικά
italian,Italian,Ιταλικά
french,French,Γαλλικά
luxenbourgese,Luxenbourgese,Λουξεμβουργιανά
polish,Polish,Πολωνικά
start,Start,Έναρξη
proceed,Proceed,Προχωρήστε
whatIsYourName,What is your name?,Ποιο είναι το όνομά σας;
customizeAvatar,Customize your avatar,Προσαρμόστε το avatar σας
pleaseProvideAValue,Please provide a value,Παρακαλώ δώστε μια τιμή
invalidPersonName,Invalid name,Μη έγκυρο όνομα
ePhyLiBuddy,ePhyLi Buddy,ePhyLi Φίλος
ePhyLiBuddyIntroHeadline,Your ePhyLi buddy,Ο φίλος σας στο ePhyLi
buddyIntro,"This is your ePhyLi buddy. They can help you with valuable information about the game, and guide you to complete our challenges. Select your buddy by clicking on the arrows below and then click 'Proceed'.","Αυτός είναι ο φίλος σας στο ePhyLi. Μπορεί να σας βοηθήσει με πολύτιμες πληροφορίες σχετικά με το παιχνίδι και να σας καθοδηγήσει για να ολοκληρώσετε τις προκλήσεις μας. Επιλέξτε τον φίλο σας κάνοντας κλικ στα παρακάτω βέλη και, στη συνέχεια, κάντε κλικ στο 'Προχωρήστε'."
buddy_description,You can also call me if you need help with an activity. I can provide extra help or hints.,Μπορείτε επίσης να με καλέσετε εάν χρειάζεστε βοήθεια με μια δραστηριότητα. Μπορώ να σας προσφέρω επιπλέον βοήθεια ή συμβουλές.
news,News,Νέα
news_description,"Here you can read news articles, posts, and more, related to Physical Literacy.","Εδώ μπορείτε να διαβάσετε άρθρα, αναρτήσεις και πολλά άλλα, σχετικά με τον Σωματικό Γραμματισμό."
glossary,Glossary,Γλωσσάριο
glossary_description,You can find terminology related to Physical Literacy in the Glossary.,Στο Γλωσσάριο μπορείτε να βρείτε την ορολογία που σχετίζεται με τον Σωματικό Γραμματισμό.
profile,Profile,Προφίλ
profile_description,You can also manage your profile and preferences here.,Μπορείτε επίσης να διαχειριστείτε το προφίλ και τις προτιμήσεις σας εδώ.
