Key,English,French
tagline,Welcome to ePhyLi!,Bienvenue sur ePhyLi !
,,
welcomeText,Your journey into Physical Literacy is going to start,Votre voyage vers l'alphabétisation physique va commencer
,,
english,English,Anglaise
,,
greek,Greek,Grecque
,,
italian,Italian,Italienne
,,
french,French,Français
,,
luxenbourgese,Luxenbourgese,Luxembourgeois
,,
polish,Polish,Polonais
,,
start,Start,Commencer
,,
proceed,Proceed,Procéder
,,
whatIsYourName,What is your name?,Quel est ton nom?
customizeAvatar,Customize your avatar,Personnalisez votre avatar
pleaseProvideAValue,Please provide a value,Veuillez fournir une valeur
invalidPersonName,Invalid name,Nom invalide
ePhyLiBuddy,ePhyLi Buddy,Ami ePhyLi
ePhyLiBuddyIntroHeadline,Your ePhyLi buddy,Votre ami ePhyLi
buddyIntro,"This is your ePhyLi buddy. They can help you with valuable information about the game, and guide you to complete our challenges. Select your buddy by clicking on the arrows below and then click 'Proceed'.","Il s'agit de votre ami ePhyLi. Il peut vous fournir des informations précieuses sur le jeu et vous guider pour relever nos défis. Sélectionnez votre ami en cliquant sur les flèches ci-dessous, puis cliquez sur « Continuer »."
buddy_description,You can also call me if you need help with an activity. I can provide extra help or hints.,Vous pouvez également m'appeler si vous avez besoin d'aide pour une activité. Je peux vous fournir une aide supplémentaire ou des conseils.
news,News,Nouvelles
news_description,"Here you can read news articles, posts, and more, related to Physical Literacy.","Ici, vous pouvez lire des articles d’actualité, des publications et plus encore, liés à l’alphabétisation physique."
glossary,Glossary,Glossaire
glossary_description,You can find terminology related to Physical Literacy in the Glossary.,Vous trouverez la terminologie liée à la littératie physique dans le glossaire.
profile,Profile,Profil
profile_description,You can also manage your profile and preferences here.,Vous pouvez également gérer votre profil et vos préférences ici.
tutorial_text,"Welcome to ePhyLi, your journey into Physical Literacy is going to start!","Bienvenue sur ePhyLi, votre voyage vers l'alphabétisation physique va commencer !"
,,
