Key,English,Italiano
tagline,Welcome to ePhyLi!,Benvenuti su ePhyLi!
welcomeText,Your journey into Physical Literacy is going to start!,Il tuo viaggio nella physical literacy sta per iniziare!
english,English,Inglese
greek,Greek,Greco
italian,Italian,Italiano
french,French,Francese
luxenbourgese,Luxenbourgese,Lussemburghese
polish,Polish,Polacco
start,Start,Inizia
proceed,Proceed,Avanti
whatIsYourName,What is your name?,Come ti chiami?
customizeAvatar,Customize your avatar,Personalizza il tuo avatar
pleaseProvideAValue,Please provide a value,Non è possibile usare numeri o caratteri speciali
invalidPersonName,Invalid name,Formato nome non valido
ePhyLiBuddy,ePhyLi Buddy,ePhyLi Buddy
ePhyLiBuddyIntroHeadline,Your ePhyLi buddy,ePhyLi Buddy
buddyIntro,This is your ePhyLi buddy. They can help you with valuable information about the game and guide you to complete our challenges. Select your buddy by clicking on the arrows below and then click 'Proceed'.,"Questo è l’ePhyLi Buddy. Può fornirti informazioni preziose sul gioco e guidarti a completare le sfide. Utilizza le frecce in basso per selezionare il Buddy che più ti piace e poi clicca su ""Avanti""."
buddy_description,You can also call me if you need help with an activity. I can provide extra help or hints.,Puoi consultarmi se hai bisogno di aiuto per un'attività. Ti fornirò un aiuto supplementare o suggerimenti.
news,News,Notizie
news_description,"Here you can read news articles, posts, and more, related to Physical Literacy.","Cliccando su questa icona, potrai avere accesso ad articoli, post e altro ancora sulla physical literacy."
glossary,Glossary,Glossario
glossary_description,You can find terminology related to Physical Literacy in the Glossary.,"Cliccando su questa icona, potrai consultare le definizioni dei termini relativi alla physical literacy utilizzati nel gioco."
profile,Profile,Profilo
profile_description,You can also manage your profile and preferences here.,"Cliccando su questa icona, potrai gestire il tuo profilo e le tue preferenze."
tutorial_text,"Welcome to ePhyLi, your journey into Physical Literacy is going to start!","Benvenuti in ePhyLi, il tuo viaggio nella physical literacy sta per iniziare!"
,,
,"Embark on a unique mission to transform your life through knowledge and activity. Navigate through challenges, and unlock the secrets of a healthy lifestyle. Your task is not just to play but to evolve, learning about physical health and well-being. Solve tasks and challenges, make impactful choices, and chart your progress in an engaging world where every step counts towards your ultimate goal: mastering Physical Literacy.","Intraprenderai una missione unica per trasformare la tua vita attraverso la conoscenza e l'attività. Naviga tra le sfide e svela i segreti di uno stile di vita sano. Il tuo compito non sarà solo quello di giocare, ma di crescere, acquisendo nozioni di salute e benessere. Risolverai compiti e sfide, farai scelte importanti e traccerai i tuoi progressi in un mondo coinvolgente, dove ogni passo ti porterà sempre più vicino all’obiettivo finale: padroneggiare la physical literacy."
,,
,Ready to begin your adventure?,Pronti a iniziare la nostra avventura?
ready_letsgo,"Yes, let's go!",Iniziamo!
tutorial_text_buddy,"Hi, I am your ePhyLi buddy, a virtual companion designed to guide and assist you throughout the game. Let me introduce you to the game with a brief tutorial.","Ciao, sono ePhyLi Buddy, un amico virtuale che ti guiderà e ti assisterà durante il gioco. Ecco un breve tutorial per introdurre il gioco."
next,Next,Avanti
tutorialTextChallenges,Well done! Now I am going to explain how you can start playing. The game consists of several challenges that you must complete in order.,Ben fatto! Ora ti darò alcune informazioni su come iniziare a giocare. Il gioco consiste in diverse sfide da completare secondo un ordine stabilito.
,,
,"I have already unlocked the first challenge for you. Once you complete a challenge, the next will be unlocked. You can also gather badges through the challenges, or various other activities, by interacting with the various features of the app.","Ho già sbloccato la prima sfida per te. Una volta completata una sfida, verrà sbloccata la successiva. È inoltre possibile ottenere dei riconoscimenti (badge) attraverso le sfide o altre attività, interagendo con le varie funzioni dell'applicazione."
exploreChallenges,"Ok, let's explore the challenges!","Ok, esploriamo le sfide!"
challengesTextTutorial,"These are the challenges you must complete. Each of these challenges may consist of multiple activities, and once you complete all activities in a challenge, I will unlock the next challenge for you. Always remember to use my help if you get stuck in an activity, and remember to use the resources in the news and glossary sections.","Queste sono le sfide che dovrai completare. Una sfida può essere composta da più attività. Una volta completate tutte le attività di una sfida, sbloccherò la successiva. Ricorda, non esitare a chiedere il mio aiuto se non riesci a completare un'attività o una sfida e di utilizzare le risorse a tua disposizione presenti nelle sezioni Notizie e Glossario."
,,
,Our tutorial is finished. I think you are ready to get started!,Il nostro tutorial è terminato. Immagino che tu sia pronto a iniziare adesso.
challengesTextNormal,You have completed %1 out of %2 challenges so far. Would you like to try the next challenge?,Hai completato %1 delle %2 sfide finora. Vuoi iniziare la prossima sfida?
ok,OK,OK
newBadgeTitle,Badge collected,Badge collezionato.
newBadgeText,Congratulations! You have received a new badge. Well done!,Congratulazioni! Hai ricevuto un nuovo badge. Ben fatto!
viewBadges,View badges,Visualizza i badge
completed,Completed,Completato
activities,activities,attività
challengesTextNormalInitial,Hey %1! It's time to get started! Would you like to try the next challenge?,Ehi %1! È ora di iniziare! Vuoi intraprendere la prossima sfida?
challengesTextFinishedAll,Congratulations! You have completed all the challenges. Would you like to replay any of them?,Congratulazioni! Hai completato tutte le sfide. Vuoi rigiocarne qualcuna?
nextChallengeUnlocked,The next challenge has been unlocked.,La prossima sfida è stata sbloccata
challengeLocked,This challenge is locked,Questa sfida è bloccata
challengeLockedMessage,This challenge is locked. Complete the previous challenges to unlock.,Questa sfida è bloccata. Completa le sfide precedenti per sbloccarla.
activityLockedMessage,This activity is locked. Complete the previous activities to unlock.,Questa attività è bloccata. Completate le attività precedenti per sbloccarla.
error,An error has occurred.,Si è verificato un errore
lets_start,Let's start!,Iniziamo!
resetGame,Reset game,Ricomincia
areYouSure,Are you sure?,Sei sicuro?
resetLoseProgressMessage,This will reset your current progress.,In questo modo cancellerai i tuoi progressi
cancel,Cancel,Annulla
finish,Finish,Fine
gameOver,Game over,Hai perso
alreadyPlayedActivity,You have already participated in this activity. Would you like to replay it?,Hai già concluso questa attività. Vuoi rigiocarla?
yes,Yes,Si
no,No,No
unableToStartActivity,Error - This activity cannot be started.,Errore - Questa attività non può essere avviata
clickOnImageToZoom,Press the image to zoom in for more detail.,Premere sull'immagine per ingrandire
clickToViewArticle,Click here to read the article,Clicca qui per leggere l'articolo
clickOKToContinue,Click OK to continue,Clicca su OK per continuare
challenges_unlocked,%1 challenge(s) were unlocked!,La sfida %1 è stata sbloccata!
screen_flip_notice,Your screen will change to landscape mode for this activity.,Ruota orizzontalmente il dispositivo per questa attività
drop_here,Drop here,Sposta qui
available_cards,Available cards,Carte disponibili
dragging,Dragging...,Trascinare...
well_done,Well done!,Ben fatto!
try_again,Try again,Riprova
check_solution,Check solution,Controlla la soluzione
back,Back,Indietro
pleaseTurnDevice,Please rotate your device.,Ruota il dispositivo
badges_view_title,Your badges,I tuoi badge
you_have_earned_badge,You have earned this badge. Well done!,Ti sei guadagnato questo badge. Ben fatto!
save,Save,Salva
glossary_instructions,This is a glossary - a list of terms related to physical literacy and their descriptions. Scroll through the list below to find the term you need and click it to view its description.,Questo è il glossario: un elenco di termini relativi alla physical literacy con le relative descrizioni. Scorri l'elenco sottostante per trovare il termine desiderato e clicca su di esso per visualizzarne la descrizione.
under_construction,Under construction,In sviluppo
enter_name,Enter your name,Inserisci il tuo nome
pick_avatar,Customize your avatar,Personalizza il tuo avatar
pick_buddy,Select your ePhyLi buddy,Seleziona un ePhyLi Buddy
help,Help,Aiuto
no_badges_yet,You have not earned any badges yet. Complete some challenges to earn badges.,Non hai ancora guadagnato nessun badge. Completa le sfide per ottenere i badge.
about,About,Circa
project_description,ePhyLi is an Erasmus+ Sport funded project that aims to promote physical literacy and healthy lifestyles through digital materials for university students.,ePhyLi è un progetto finanziato da Erasmus+ Sport con lo scopo di promuovere la physical literacy e l’adozione di stili di vita sani attraverso l’uso di strumenti digitali ideati per gli studenti universitari.
visit_website,Visit the project's website,Visita il sito web del progetto
about_the_app,About the app,Informazioni sull'applicazione
change_language,Change language,Cambiare la lingua
privacy_policy,Privacy policy,Informativa sulla privacy
c1a1_welcome,"Welcome to challenge 1. Match the concepts to the appropriate descriptions. Be careful! If you make five mistakes, the challenge will restart from the beginning. Ready?","Siamo pronti per la sfida 1. Abbina i concetti alle descrizioni appropriate. Attenzione! Se commetterai cinque errori, la sfida ripartirà dall'inizio. Iniziamo!"
c1a1_congrats,Well done! All concepts are correctly matched to the related descriptions.,Ben fatto! Tutti i concetti sono stati abbinati correttamente alle relative descrizioni
